,avet,aveb,pret,preb,aveth,preaveth,prepreaveth,th,temp,RH,T_out,RHt,time,date
0,29.005,26.94272009,29.59333333,28.31040754,0.334,0.334,0.334433333,g,U,94.58788582,31.07125,1,16,2018/9/20 16:00
1,28.535,26.22929226,29.005,26.94272009,0.334,0.334,0.334,g,U,97.38295794,30.24558333,1,17,2018/9/20 17:00
2,28.05666667,25.88405786,28.535,26.22929226,0.334366667,0.334,0.334,g,T,99.73956744,28.67008333,1,18,2018/9/20 18:00
3,27.525,25.33734268,28.05666667,25.88405786,0.334166667,0.334366667,0.334,g,T,99.99389611,27.70083333,1,19,2018/9/20 19:00
4,27.105,25.13324331,27.525,25.33734268,0.334483333,0.334166667,0.334366667,g,S,100,27.18991667,1,20,2018/9/20 20:00
5,26.76166667,24.91530618,27.105,25.13324331,0.33495,0.334483333,0.334166667,g,S,100,26.4085,1,21,2018/9/20 21:00
6,26.41,24.70767722,26.76166667,24.91530618,0.335,0.33495,0.334483333,h,R,100,25.96916667,1,22,2018/9/20 22:00
7,26.15166667,24.70365101,26.41,24.70767722,0.335,0.335,0.33495,h,R,100,25.85558333,1,23,2018/9/20 23:00
8,25.91,24.55262091,26.15166667,24.70365101,0.335,0.335,0.335,h,R,100,25.55175,1,0,2018/9/21 00:00
9,25.69333333,24.39366937,25.91,24.55262091,0.335,0.335,0.335,h,R,100,25.24866667,1,1,2018/9/21 01:00
10,25.51666667,24.32931126,25.69333333,24.39366937,0.335,0.335,0.335,h,R,100,25.30508333,1,2,2018/9/21 02:00
11,25.36333333,24.31523081,25.51666667,24.32931126,0.335,0.335,0.335,h,Q,100,25.33741667,1,3,2018/9/21 03:00
12,25.21333333,24.20870097,25.36333333,24.31523081,0.335,0.335,0.335,h,Q,100,25.07066667,1,4,2018/9/21 04:00
13,25.115,24.25090261,25.21333333,24.20870097,0.335,0.335,0.335,h,Q,100,25.22,1,5,2018/9/21 05:00
14,25.1,24.42387164,25.115,24.25090261,0.335,0.335,0.335,h,Q,100,25.58225,1,6,2018/9/21 06:00
15,25.24833333,25.46733852,25.1,24.42387164,0.335,0.335,0.335,h,Q,100,27.13766667,1,7,2018/9/21 07:00
16,25.73333333,27.24829863,25.24833333,25.46733852,0.335,0.335,0.335,h,R,96.73187654,29.48783333,1,8,2018/9/21 08:00
17,26.47833333,28.55364799,25.73333333,27.24829863,0.3342,0.335,0.335,g,R,92.96526888,31.56675,1,9,2018/9/21 09:00
18,27.81833333,28.67959712,26.47833333,28.55364799,0.333816667,0.3342,0.335,g,T,89.5303058,33.72016667,1,10,2018/9/21 10:00
19,28.11166667,28.11822403,27.81833333,28.67959712,0.333,0.333816667,0.3342,g,T,94.10567865,32.78733333,1,11,2018/9/21 11:00
20,28.46,29.20030431,28.11166667,28.11822403,0.332966667,0.333,0.333816667,g,T,94.21656595,32.96575,1,12,2018/9/21 12:00
21,28.87166667,29.84545098,28.46,29.20030431,0.332183333,0.332966667,0.333,g,U,92.04714236,33.45991667,1,13,2018/9/21 13:00
22,29.08166667,29.05289759,28.87166667,29.84545098,0.332,0.332183333,0.332966667,g,U,94.93479013,32.7325,1,14,2018/9/21 14:00
